student_id,first_name,last_name,program,year_level,email,phone_num,gender,age,cgpa
741409505,Lisa,Morris,Mechanical Engineering,3,lisa.morris@abc.edu,(497) 526-4513,F,25,7.55
166550819,Jesse,Colon,Electrical Engineering,2,jesse.colon@abc.edu,(571) 535-7934,M,27,5.8
842928803,Jeremy,Galvan,Computer Engineering,4,jeremy.galvan@abc.edu,(502) 696-1337,M,26,7.02
121026116,Brandon,Wilson,Artificial Intelligence,3,brandon.wilson@yahoo.com,(947) 312-4255,M,24,7.46
243973181,Kimberly,Kirby,Mechanical Engineering,2,kimberly.kirby@hotmail.com,(176) 601-2177,O,29,6.39
648897404,David,Kramer,Mechanical Engineering,3,david.kramer@abc.edu,(406) 536-3886,M,21,7.46
441183872,Alice,Weiss,Applied Statistics,2,alice.weiss@abc.edu,(944) 671-4706,F,27,7.8
940366015,Gregory,Gutierrez,Statistics,4,gregory.gutierrez@abc.edu,(135) 932-1969,M,22,7.48
996675949,Jose,Avery,Computer Security,3,jose.avery@abc.edu,(804) 753-3171,M,25,7.35
613649044,Daniel,Mcconnell,Data Science,3,daniel.mcconnell@abc.edu,(826) 102-1908,M,25,6.68
697449950,Margaret,Knapp,Computer Science,3,margaret.knapp@hotmail.com,(845) 377-9078,F,28,8.27
816697185,Amanda,Garza,Applied Mathematics,3,amanda.garza@abc.edu,(903) 657-2971,O,23,7.62
309851373,Linda,Prince,Computer Science,3,linda.prince@abc.edu,(922) 919-5329,O,26,6.92
230841602,Anthony,Whitehead,Astronomy,3,anthony.whitehead@abc.edu,(683) 710-5110,M,24,7.4
112585242,Steven,Walters,Artificial Intelligence,3,steven.walters@hotmail.com,(439) 718-9448,M,24,7.0
639247849,Jerry,Cummings,Applied Mathematics,3,jerry.cummings@yahoo.com,(268) 777-8671,M,19,7.6
772571191,Walter,Whitaker,Computer Science,3,walter.whitaker@yahoo.com,(789) 576-4890,M,22,8.12
439177775,Ann,Mcgee,Software Development,3,ann.mcgee@abc.edu,(720) 112-6789,F,25,7.66
